ascent = 16
descent = 0
height = 24
xOffset = 4
yOffset = 4
numChars = 218
char = 33; A = 1; B = 2; C = 0; x = 0; y = 15; 
char = 34; A = 1; B = 6; C = 1; x = 10; y = 15; 
char = 35; A = 0; B = 9; C = 0; x = 24; y = 15; 
char = 36; A = 0; B = 6; C = 0; x = 41; y = 15; 
char = 37; A = 0; B = 12; C = 0; x = 55; y = 15; 
char = 38; A = 0; B = 11; C = 0; x = 75; y = 15; 
char = 39; A = 1; B = 3; C = 1; x = 94; y = 15; 
char = 40; A = 1; B = 4; C = 0; x = 105; y = 15; 
char = 41; A = 0; B = 5; C = 0; x = 117; y = 15; 
char = 42; A = 0; B = 8; C = -1; x = 130; y = 15; 
char = 43; A = 1; B = 8; C = 0; x = 146; y = 15; 
char = 44; A = 0; B = 3; C = 0; x = 162; y = 15; 
char = 45; A = 0; B = 4; C = 0; x = 173; y = 15; 
char = 46; A = 1; B = 3; C = 0; x = 185; y = 15; 
char = 47; A = 0; B = 6; C = 1; x = 196; y = 15; 
char = 48; A = 0; B = 7; C = 0; x = 210; y = 15; 
char = 49; A = 0; B = 5; C = 0; x = 225; y = 15; 
char = 50; A = 0; B = 7; C = 0; x = 238; y = 15; 
char = 51; A = 0; B = 7; C = 0; x = 253; y = 15; 
char = 52; A = 0; B = 7; C = 0; x = 268; y = 15; 
char = 53; A = 0; B = 6; C = 0; x = 283; y = 15; 
char = 54; A = 0; B = 7; C = 0; x = 297; y = 15; 
char = 55; A = 0; B = 6; C = 0; x = 312; y = 15; 
char = 56; A = 0; B = 6; C = 0; x = 326; y = 15; 
char = 57; A = 0; B = 7; C = 0; x = 340; y = 15; 
char = 58; A = 0; B = 3; C = 1; x = 355; y = 15; 
char = 59; A = 0; B = 3; C = 0; x = 366; y = 15; 
char = 60; A = 1; B = 9; C = 0; x = 377; y = 15; 
char = 61; A = 1; B = 8; C = 1; x = 394; y = 15; 
char = 62; A = 1; B = 8; C = 0; x = 410; y = 15; 
char = 63; A = 0; B = 5; C = 0; x = 426; y = 15; 
char = 64; A = 0; B = 13; C = 0; x = 439; y = 15; 
char = 65; A = -1; B = 10; C = 0; x = 460; y = 15; 
char = 66; A = 0; B = 9; C = 0; x = 478; y = 15; 
char = 67; A = 0; B = 9; C = 0; x = 495; y = 15; 
char = 68; A = 0; B = 10; C = 0; x = 0; y = 39; 
char = 69; A = 0; B = 10; C = 0; x = 18; y = 39; 
char = 70; A = 0; B = 8; C = 0; x = 36; y = 39; 
char = 71; A = 0; B = 10; C = 0; x = 52; y = 39; 
char = 72; A = 0; B = 11; C = 0; x = 70; y = 39; 
char = 73; A = 0; B = 5; C = 0; x = 89; y = 39; 
char = 74; A = -1; B = 6; C = 0; x = 102; y = 39; 
char = 75; A = 0; B = 11; C = -1; x = 116; y = 39; 
char = 76; A = 0; B = 9; C = 0; x = 135; y = 39; 
char = 77; A = 0; B = 13; C = 0; x = 152; y = 39; 
char = 78; A = 0; B = 11; C = 0; x = 173; y = 39; 
char = 79; A = 0; B = 10; C = 0; x = 192; y = 39; 
char = 80; A = 0; B = 8; C = 0; x = 210; y = 39; 
char = 81; A = 0; B = 11; C = 0; x = 226; y = 39; 
char = 82; A = 0; B = 10; C = 0; x = 245; y = 39; 
char = 83; A = 0; B = 7; C = 0; x = 263; y = 39; 
char = 84; A = 0; B = 9; C = 0; x = 278; y = 39; 
char = 85; A = 0; B = 10; C = 0; x = 295; y = 39; 
char = 86; A = -1; B = 10; C = 0; x = 313; y = 39; 
char = 87; A = 0; B = 13; C = 0; x = 331; y = 39; 
char = 88; A = 0; B = 10; C = 0; x = 352; y = 39; 
char = 89; A = -1; B = 10; C = 0; x = 370; y = 39; 
char = 90; A = 0; B = 9; C = 0; x = 388; y = 39; 
char = 91; A = 1; B = 4; C = 0; x = 405; y = 39; 
char = 92; A = 0; B = 7; C = 1; x = 417; y = 39; 
char = 93; A = 0; B = 4; C = 1; x = 432; y = 39; 
char = 94; A = 1; B = 7; C = 1; x = 444; y = 39; 
char = 95; A = 0; B = 8; C = -1; x = 459; y = 39; 
char = 96; A = 0; B = 3; C = 1; x = 475; y = 39; 
char = 97; A = 0; B = 7; C = 0; x = 486; y = 39; 
char = 98; A = 0; B = 7; C = 0; x = 0; y = 63; 
char = 99; A = 0; B = 6; C = 0; x = 15; y = 63; 
char = 100; A = 0; B = 8; C = 0; x = 29; y = 63; 
char = 101; A = 0; B = 6; C = 0; x = 45; y = 63; 
char = 102; A = 0; B = 5; C = 0; x = 59; y = 63; 
char = 103; A = 0; B = 8; C = 0; x = 72; y = 63; 
char = 104; A = 0; B = 8; C = 0; x = 88; y = 63; 
char = 105; A = 0; B = 4; C = 0; x = 104; y = 63; 
char = 106; A = 0; B = 3; C = 0; x = 116; y = 63; 
char = 107; A = 0; B = 8; C = -1; x = 127; y = 63; 
char = 108; A = 0; B = 4; C = 0; x = 143; y = 63; 
char = 109; A = 0; B = 11; C = 0; x = 155; y = 63; 
char = 110; A = 0; B = 7; C = 0; x = 174; y = 63; 
char = 111; A = 0; B = 7; C = 0; x = 189; y = 63; 
