ascent = 17
descent = 0
height = 25
xOffset = 4
yOffset = 4
numChars = 216
char = 33; A = 1; B = 4; C = 1; x = 0; y = 16; 
char = 34; A = 0; B = 5; C = 0; x = 12; y = 16; 
char = 35; A = 0; B = 9; C = 0; x = 25; y = 16; 
char = 36; A = 0; B = 9; C = 0; x = 42; y = 16; 
char = 37; A = 0; B = 14; C = 0; x = 59; y = 16; 
char = 38; A = 0; B = 11; C = 0; x = 81; y = 16; 
char = 39; A = 0; B = 2; C = 0; x = 100; y = 16; 
char = 40; A = 0; B = 5; C = 0; x = 110; y = 16; 
char = 41; A = 0; B = 5; C = 0; x = 123; y = 16; 
char = 42; A = 0; B = 6; C = 0; x = 136; y = 16; 
char = 43; A = 1; B = 8; C = 1; x = 150; y = 16; 
char = 44; A = 1; B = 4; C = 1; x = 166; y = 16; 
char = 45; A = 0; B = 5; C = 0; x = 178; y = 16; 
char = 46; A = 1; B = 3; C = 1; x = 191; y = 16; 
char = 47; A = 0; B = 6; C = 0; x = 202; y = 16; 
char = 48; A = 0; B = 9; C = 0; x = 216; y = 16; 
char = 49; A = 1; B = 7; C = 1; x = 233; y = 16; 
char = 50; A = 0; B = 8; C = 0; x = 248; y = 16; 
char = 51; A = 1; B = 9; C = 0; x = 264; y = 16; 
char = 52; A = 0; B = 10; C = 0; x = 281; y = 16; 
char = 53; A = 1; B = 9; C = 0; x = 299; y = 16; 
char = 54; A = 0; B = 9; C = 0; x = 316; y = 16; 
char = 55; A = 1; B = 8; C = 0; x = 333; y = 16; 
char = 56; A = 0; B = 9; C = 0; x = 349; y = 16; 
char = 57; A = 0; B = 9; C = 0; x = 366; y = 16; 
char = 58; A = 1; B = 4; C = 1; x = 383; y = 16; 
char = 59; A = 1; B = 4; C = 1; x = 395; y = 16; 
char = 60; A = 1; B = 8; C = 1; x = 407; y = 16; 
char = 61; A = 1; B = 8; C = 1; x = 423; y = 16; 
char = 62; A = 1; B = 8; C = 1; x = 439; y = 16; 
char = 63; A = 1; B = 8; C = 1; x = 455; y = 16; 
char = 64; A = 0; B = 11; C = 0; x = 471; y = 16; 
char = 65; A = 0; B = 12; C = 0; x = 490; y = 16; 
char = 66; A = 0; B = 10; C = 0; x = 0; y = 41; 
char = 67; A = 0; B = 10; C = 0; x = 18; y = 41; 
char = 68; A = 0; B = 12; C = 0; x = 36; y = 41; 
char = 69; A = 0; B = 10; C = 0; x = 56; y = 41; 
char = 70; A = 0; B = 10; C = 0; x = 74; y = 41; 
char = 71; A = 0; B = 11; C = 0; x = 92; y = 41; 
char = 72; A = 0; B = 11; C = 0; x = 111; y = 41; 
char = 73; A = 0; B = 5; C = 0; x = 130; y = 41; 
char = 74; A = 0; B = 9; C = 0; x = 143; y = 41; 
char = 75; A = 0; B = 12; C = 0; x = 160; y = 41; 
char = 76; A = 0; B = 9; C = 0; x = 180; y = 41; 
char = 77; A = 0; B = 13; C = 0; x = 197; y = 41; 
char = 78; A = 0; B = 11; C = 0; x = 218; y = 41; 
char = 79; A = 0; B = 12; C = 0; x = 237; y = 41; 
char = 80; A = 0; B = 10; C = 0; x = 257; y = 41; 
char = 81; A = 0; B = 13; C = -1; x = 275; y = 41; 
char = 82; A = 0; B = 11; C = 0; x = 296; y = 41; 
char = 83; A = 0; B = 10; C = 0; x = 315; y = 41; 
char = 84; A = 0; B = 9; C = 0; x = 333; y = 41; 
char = 85; A = 0; B = 11; C = 0; x = 350; y = 41; 
char = 86; A = 0; B = 11; C = 0; x = 369; y = 41; 
char = 87; A = 0; B = 15; C = 0; x = 388; y = 41; 
char = 88; A = 0; B = 11; C = 0; x = 411; y = 41; 
char = 89; A = 0; B = 10; C = 0; x = 430; y = 41; 
char = 90; A = 0; B = 10; C = 0; x = 448; y = 41; 
char = 91; A = 1; B = 4; C = 1; x = 466; y = 41; 
char = 92; A = 0; B = 7; C = -1; x = 478; y = 41; 
