ascent = 19
descent = 0
height = 27
xOffset = 4
yOffset = 4
numChars = 219
char = 33; A = 1; B = 3; C = 1; x = 0; y = 18; 
char = 34; A = 1; B = 5; C = 1; x = 11; y = 18; 
char = 35; A = 0; B = 10; C = 0; x = 24; y = 18; 
char = 36; A = 0; B = 9; C = 0; x = 42; y = 18; 
char = 37; A = 0; B = 12; C = 0; x = 59; y = 18; 
char = 38; A = 0; B = 12; C = 0; x = 79; y = 18; 
char = 39; A = 1; B = 3; C = 1; x = 99; y = 18; 
char = 40; A = 1; B = 5; C = 1; x = 110; y = 18; 
char = 41; A = 1; B = 5; C = 1; x = 123; y = 18; 
char = 42; A = 1; B = 7; C = 0; x = 136; y = 18; 
char = 43; A = 1; B = 8; C = 1; x = 151; y = 18; 
char = 44; A = 1; B = 3; C = 1; x = 167; y = 18; 
char = 45; A = 1; B = 4; C = 1; x = 178; y = 18; 
char = 46; A = 1; B = 3; C = 1; x = 190; y = 18; 
char = 47; A = 0; B = 7; C = 0; x = 201; y = 18; 
char = 48; A = 0; B = 9; C = 0; x = 216; y = 18; 
char = 49; A = 2; B = 6; C = 2; x = 233; y = 18; 
char = 50; A = 0; B = 9; C = 0; x = 247; y = 18; 
char = 51; A = 0; B = 9; C = 0; x = 264; y = 18; 
char = 52; A = 0; B = 10; C = 0; x = 281; y = 18; 
char = 53; A = 0; B = 9; C = 0; x = 299; y = 18; 
char = 54; A = 0; B = 9; C = 0; x = 316; y = 18; 
char = 55; A = 1; B = 9; C = 1; x = 333; y = 18; 
char = 56; A = 0; B = 9; C = 0; x = 350; y = 18; 
char = 57; A = 0; B = 9; C = 0; x = 367; y = 18; 
char = 58; A = 1; B = 3; C = 1; x = 384; y = 18; 
char = 59; A = 1; B = 3; C = 1; x = 395; y = 18; 
char = 60; A = 1; B = 7; C = 1; x = 406; y = 18; 
char = 61; A = 1; B = 8; C = 1; x = 421; y = 18; 
char = 62; A = 1; B = 7; C = 1; x = 437; y = 18; 
char = 63; A = 0; B = 8; C = 0; x = 452; y = 18; 
char = 64; A = 0; B = 13; C = 0; x = 468; y = 18; 
char = 65; A = 0; B = 12; C = 0; x = 489; y = 18; 
char = 66; A = 0; B = 11; C = 0; x = 0; y = 45; 
char = 67; A = 0; B = 11; C = 0; x = 19; y = 45; 
char = 68; A = 0; B = 12; C = 0; x = 38; y = 45; 
char = 69; A = 0; B = 11; C = 0; x = 58; y = 45; 
char = 70; A = 0; B = 10; C = 0; x = 77; y = 45; 
char = 71; A = 0; B = 11; C = 0; x = 95; y = 45; 
char = 72; A = 0; B = 11; C = 0; x = 114; y = 45; 
char = 73; A = 0; B = 3; C = 0; x = 133; y = 45; 
char = 74; A = 0; B = 9; C = 0; x = 144; y = 45; 
char = 75; A = 0; B = 11; C = 0; x = 161; y = 45; 
char = 76; A = 0; B = 10; C = 0; x = 180; y = 45; 
char = 77; A = 0; B = 14; C = 0; x = 198; y = 45; 
char = 78; A = 0; B = 12; C = 0; x = 220; y = 45; 
char = 79; A = 0; B = 13; C = 0; x = 240; y = 45; 
char = 80; A = 0; B = 9; C = 0; x = 261; y = 45; 
char = 81; A = 0; B = 13; C = 0; x = 278; y = 45; 
char = 82; A = 0; B = 10; C = 0; x = 299; y = 45; 
char = 83; A = 0; B = 10; C = 0; x = 317; y = 45; 
char = 84; A = 0; B = 11; C = 0; x = 335; y = 45; 
char = 85; A = 0; B = 11; C = 0; x = 354; y = 45; 
char = 86; A = 0; B = 11; C = 0; x = 373; y = 45; 
char = 87; A = 0; B = 15; C = 0; x = 392; y = 45; 
char = 88; A = 0; B = 11; C = 0; x = 415; y = 45; 
