ascent = 14
descent = 0
height = 16
xOffset = 4
yOffset = 4
numChars = 94
char = 33; A = 1; B = 2; C = 1; x = 0; y = 13; 
char = 34; A = 1; B = 4; C = 0; x = 10; y = 13; 
char = 35; A = 0; B = 8; C = 0; x = 22; y = 13; 
char = 36; A = 1; B = 5; C = 0; x = 38; y = 13; 
char = 37; A = 1; B = 8; C = 0; x = 51; y = 13; 
char = 38; A = 0; B = 9; C = 0; x = 67; y = 13; 
char = 39; A = 1; B = 2; C = -1; x = 84; y = 13; 
char = 40; A = 1; B = 3; C = 0; x = 94; y = 13; 
char = 41; A = 1; B = 3; C = 0; x = 105; y = 13; 
char = 42; A = 1; B = 5; C = 0; x = 116; y = 13; 
char = 43; A = 0; B = 7; C = 1; x = 129; y = 13; 
char = 44; A = 1; B = 2; C = 1; x = 144; y = 13; 
char = 45; A = 1; B = 3; C = 0; x = 154; y = 13; 
char = 46; A = 1; B = 2; C = 1; x = 165; y = 13; 
char = 47; A = 0; B = 5; C = 0; x = 175; y = 13; 
char = 48; A = 1; B = 5; C = 0; x = 188; y = 13; 
char = 49; A = 1; B = 5; C = 0; x = 201; y = 13; 
char = 50; A = 1; B = 5; C = 0; x = 214; y = 13; 
char = 51; A = 1; B = 5; C = 0; x = 227; y = 13; 
char = 52; A = 1; B = 5; C = 0; x = 240; y = 13; 
char = 53; A = 1; B = 5; C = 0; x = 0; y = 35; 
char = 54; A = 1; B = 5; C = 0; x = 13; y = 35; 
char = 55; A = 1; B = 5; C = 0; x = 26; y = 35; 
char = 56; A = 1; B = 5; C = 0; x = 39; y = 35; 
char = 57; A = 1; B = 5; C = 0; x = 52; y = 35; 
char = 58; A = 1; B = 2; C = 1; x = 65; y = 35; 
char = 59; A = 1; B = 2; C = 1; x = 75; y = 35; 
char = 60; A = 0; B = 7; C = 1; x = 85; y = 35; 
char = 61; A = 0; B = 7; C = 1; x = 100; y = 35; 
char = 62; A = 0; B = 7; C = 1; x = 115; y = 35; 
char = 63; A = 1; B = 4; C = 1; x = 130; y = 35; 
char = 64; A = 0; B = 10; C = 1; x = 142; y = 35; 
char = 65; A = 0; B = 9; C = 0; x = 160; y = 35; 
char = 66; A = 1; B = 6; C = 0; x = 177; y = 35; 
char = 67; A = 1; B = 7; C = 0; x = 191; y = 35; 
